Sample,Year,Season,Season.Year,Depth.cm,Treatment,Block,Section,Point,PMC.ppm,WEOC.ppm,WEON.ppm,MAC,OrganicNrelease,N.release.used,lbsofNreleased,Ncredits.kg.ha,Soil.health.score
2020-Spring-43-1,2020,Spring,Spring20,0-30 cm,Undrained,2,Plot 4,43,110.9223333,531.10603,43.28293642,0.20885158,36.15883856,36.15883856,130.1718188,145.9226089,20.73158727
2020-Spring-44-1,2020,Spring,Spring20,0-30 cm,Undrained,2,Plot 4,44,128.6438667,368.97472,34.66024132,0.348652251,48.33748463,34.66024132,124.7768688,139.8748699,20.020158
2020-Spring-45-1,2020,Spring,Spring20,0-30 cm,Undrained,2,Plot 4,45,113.0443333,142.69546,16.32121451,0.792206937,51.71911742,16.32121451,58.75637224,65.86589328,14.36350938
2020-Spring-57-1,2020,Spring,Spring20,0-30 cm,Undrained,2,Plot 4,57,97.79758,830.73396,12.92872389,0.117724307,6.088100257,6.088100257,21.91716093,24.5691374,19.37996999
2020-Spring-62-1,2020,Spring,Spring20,0-30 cm,Undrained,1,Plot 2,61,106.0700667,658.20475,14.36269832,0.161150564,9.25822774,9.25822774,33.32961986,37.36250387,18.625324
2020-Summer-2-1,2020,Summer,Summer20,0-30 cm,Drained,1,Plot 1,2,67.74424667,240.08556,14.6480415,0.282167102,16.53278167,14.6480415,52.7329494,59.11363628,10.64008442
2020-Summer-5-1,2020,Summer,Summer20,0-30 cm,Drained,1,Plot 1,5,92.73453,323.83255,18.11498757,0.286365685,20.7500433,18.11498757,65.21395525,73.10484384,14.32327726
2020-Summer-9-1,2020,Summer,Summer20,0-30 cm,Drained,1,Plot 1,9,69.44401,96.757956,0.421652604,0.717708526,1.210494676,0.421652604,1.517949374,1.701621249,7.95414582
2020-Summer-12-1,2020,Summer,Summer20,0-30 cm,Drained,1,Plot 1,12,69.25452333,202.96747,9.751659538,0.341209965,13.30945364,9.751659538,35.10597434,39.35379723,9.930292987
2020-Summer-22-1,2020,Summer,Summer20,0-30 cm,Undrained,1,Plot 2,22,70.03570333,299.24465,8.23857216,0.234041622,7.712675173,7.712675173,27.76563062,31.12527193,10.81987405
2020-Summer-25-1,2020,Summer,Summer20,0-30 cm,Undrained,1,Plot 2,25,98.7954,298.40848,7.296503705,0.331074372,9.662741516,7.296503705,26.26741334,29.44577035,13.59327517
2020-Summer-26-1,2020,Summer,Summer20,0-30 cm,Undrained,1,Plot 2,26,96.35843667,170.73577,19.23861964,0.564371699,43.43092984,19.23861964,69.2590307,77.63937342,13.26706333
2020-Summer-30-1,2020,Summer,Summer20,0-30 cm,Drained,2,Plot 3,30,89.56302,306.77019,16.23676618,0.291954769,18.96160529,16.23676618,58.45235825,65.5250936,13.64768052
2020-Summer-32-1,2020,Summer,Summer20,0-30 cm,Drained,2,Plot 3,32,56.49254333,215.66937,18.84143847,0.261940503,19.7413435,18.84143847,67.82917849,76.03650909,9.69009188
2020-Summer-38-1,2020,Summer,Summer20,0-30 cm,Drained,2,Plot 3,38,85.57261333,338.65567,11.60856035,0.252683244,11.73315475,11.60856035,41.79081726,46.84750615,13.10467407
2020-Summer-41-1,2020,Summer,Summer20,0-30 cm,Drained,2,Plot 3,41,102.7736167,244.067548,20.3222375,0.421086775,34.22970181,20.3222375,73.160055,82.01242166,14.7502609
2020-Summer-43-1,2020,Summer,Summer20,0-30 cm,Undrained,2,Plot 4,43,90.79872667,253.49679,14.54880134,0.358184917,20.8446448,14.54880134,52.37568482,58.71314269,13.0697207
2020-Summer-44-1,2020,Summer,Summer20,0-30 cm,Undrained,2,Plot 4,44,75.92948667,133.804064,9.732007914,0.567467717,22.09040124,9.732007914,35.03522849,39.27449114,9.904190098
2020-Summer-45-1,2020,Summer,Summer20,0-30 cm,Undrained,2,Plot 4,45,73.32236667,278.828222,4.137373522,0.262966088,4.351955713,4.137373522,14.89454468,16.69678459,10.53425624
2020-Summer-57-1,2020,Summer,Summer20,0-30 cm,Undrained,2,Plot 4,57,94.25748667,217.12782,14.49289296,0.434110593,25.16607342,14.49289296,52.17441466,58.48751883,13.04631616
2020-Summer-61-1,2020,Summer,Summer20,0-30 cm,Undrained,1,Plot 2,61,81.76858333,181.80789,10.18145856,0.449752667,18.31655255,10.18145856,36.65325082,41.08829416,11.01308309
2021-Fall-2-1,2021,Fall,Fall21,0-30 cm,Drained,1,Plot 1,2,53.68623538,162.927529,7.715005164,0.32950991,10.16868262,7.715005164,27.77401859,31.13467484,7.769399344
2021-Fall-5-1,2021,Fall,Fall21,0-30 cm,Drained,1,Plot 1,5,63.34771963,166.693792,4.863648679,0.380024468,7.393222008,4.863648679,17.50913524,19.62774061,8.488074751
2021-Fall-9-1,2021,Fall,Fall21,0-30 cm,Drained,1,Plot 1,9,51.76867745,109.737936,3.663755936,0.471748233,6.913481562,3.663755936,13.18952137,14.78545346,6.640622699
2021-Fall-12-1,2021,Fall,Fall21,0-30 cm,Drained,1,Plot 1,12,50.18766182,154.737382,5.881576005,0.324340901,7.630542631,5.881576005,21.17367362,23.73568813,7.154297603
2021-Fall-22-1,2021,Fall,Fall21,0-30 cm,Undrained,1,Plot 2,22,48.67408395,112.775117,3.588866535,0.431603045,6.195862905,3.588866535,12.91991953,14.48322979,6.354046219
2021-Fall-25-1,2021,Fall,Fall21,0-30 cm,Undrained,1,Plot 2,25,53.24978212,152.117043,5.866474946,0.350057962,8.214425064,5.866474946,21.11930981,23.67474629,7.432796137
2021-Fall-26-1,2021,Fall,Fall21,0-30 cm,Undrained,1,Plot 2,26,42.13980811,100.920102,2.167221242,0.417556139,3.619746134,2.167221242,7.801996471,8.746038044,5.439903955
2021-Fall-29-1,2021,Fall,Fall21,0-30 cm,Drained,2,Plot 3,29,44.66770622,99.7099825,2.85841416,0.447976272,5.122006874,2.85841416,10.29029098,11.53541618,5.749711863
2021-Fall-32-1,2021,Fall,Fall21,0-30 cm,Drained,2,Plot 3,32,37.41813047,106.128929,4.891634526,0.352572393,6.898621163,4.891634526,17.60988429,19.74068029,5.29226579
2021-Fall-38-1,2021,Fall,Fall21,0-30 cm,Drained,2,Plot 3,38,45.49918181,165.397105,6.973708047,0.275090557,7.673604936,6.973708047,25.10534897,28.14309619,6.901260036
2021-Fall-41-1,2021,Fall,Fall21,0-30 cm,Drained,2,Plot 3,41,40.92439277,123.776036,3.011189428,0.330632601,3.982389575,3.011189428,10.84028194,12.15195606,5.63131858
2021-Fall-43-1,2021,Fall,Fall21,0-30 cm,Undrained,2,Plot 4,43,40.45951467,114.266154,3.88839408,0.354081355,5.507231383,3.88839408,13.99821869,15.69200315,5.577452415
2021-Fall-44-1,2021,Fall,Fall21,0-30 cm,Undrained,2,Plot 4,44,38.64797685,95.0390747,1.20790468,0.406653547,1.964794891,1.20790468,4.348456848,4.874620127,4.9359789
2021-Fall-45-1,2021,Fall,Fall21,0-30 cm,Undrained,2,Plot 4,45,32.30652219,108.425341,5.019798265,0.297960992,5.982816288,5.019798265,18.07127375,20.25789788,4.816885456
2021-Fall-57-1,2021,Fall,Fall21,0-30 cm,Undrained,2,Plot 4,57,49.1079321,131.349986,5.559491334,0.373870859,8.314127203,5.559491334,20.0141688,22.43588323,6.780242203
2021-Fall-61-1,2021,Fall,Fall21,0-30 cm,Undrained,1,Plot 2,61,43.15843968,129.639874,5.028648818,0.332910225,6.696354447,5.028648818,18.10313574,20.29361517,6.11510759
2021-Spring-2-1,2021,Spring,Spring21,0-30 cm,Drained,1,Plot 1,2,109.827,181.877396,10.57463852,0.603851839,25.54205966,10.57463852,38.06869867,42.67501121,13.85893781
2021-Spring-5-1,2021,Spring,Spring21,0-30 cm,Drained,1,Plot 1,5,77.66694667,120.267394,5.526750738,0.645785562,14.27638333,5.526750738,19.89630266,22.30375528,9.522043681
2021-Spring-9-1,2021,Spring,Spring21,0-30 cm,Drained,1,Plot 1,9,103.2565467,98.85743,2.431916074,1.044499606,10.16054153,2.431916074,8.754897866,9.814240508,11.55742058
2021-Spring-12-1,2021,Spring,Spring21,0-30 cm,Drained,1,Plot 1,12,142.1281,99.7748157,2.355020091,1.424488725,13.41879827,2.355020091,8.478072328,9.503919079,15.44606017
2021-Spring-22-1,2021,Spring,Spring21,0-30 cm,Undrained,1,Plot 2,22,131.8198,84.9215442,1.978479789,1.552253921,12.28441204,1.978479789,7.12252724,7.984353036,14.22904342
2021-Spring-25-1,2021,Spring,Spring21,0-30 cm,Undrained,1,Plot 2,25,198.0861,131.649766,6.348785589,1.504644528,38.21066198,6.348785589,22.85562812,25.62115912,21.75998622
2021-Spring-26-1,2021,Spring,Spring21,0-30 cm,Undrained,1,Plot 2,26,164.9390667,105.807141,1.993000133,1.558865169,12.42727395,1.993000133,7.174800479,8.042951337,17.75127809
2021-Spring-29-1,2021,Spring,Spring21,0-30 cm,Drained,2,Plot 3,29,105.7835,89.6582761,2.506708325,1.17985204,11.83017973,2.506708325,9.02414997,10.11607212,11.72560359
2021-Spring-32-1,2021,Spring,Spring21,0-30 cm,Drained,2,Plot 3,32,126.8094,182.444125,9.605931088,0.69505883,26.70674888,9.605931088,34.58135192,38.7656955,15.46597436
2021-Spring-38-1,2021,Spring,Spring21,0-30 cm,Drained,2,Plot 3,38,177.0555333,244.05688,20.13257104,0.725468314,58.42216949,20.13257104,72.47725574,81.24700369,22.15937923
2021-Spring-41-1,2021,Spring,Spring21,0-30 cm,Drained,2,Plot 3,41,117.0485667,361.376232,11.15621125,0.323896694,14.45383975,11.15621125,40.1623605,45.02200612,16.43424012
2021-Spring-43-1,2021,Spring,Spring21,0-30 cm,Undrained,2,Plot 4,43,175.7878,166.305487,12.89938425,1.057017439,54.53949643,12.89938425,46.4377833,52.05675508,20.5317733
2021-Spring-44-1,2021,Spring,Spring21,0-30 cm,Undrained,2,Plot 4,44,154.4633333,352.646708,17.09802219,0.438011556,29.95652522,17.09802219,61.55287988,69.00077835,20.68260263
2021-Spring-45-1,2021,Spring,Spring21,0-30 cm,Undrained,2,Plot 4,45,105.5814333,271.788983,36.4093887,0.388468407,56.57558893,36.4093887,131.0737993,146.933729,16.91697203
2021-Spring-57-1,2021,Spring,Spring21,0-30 cm,Undrained,2,Plot 4,57,37.43275,130.434296,9.572484252,0.286985487,10.98865623,9.572484252,34.46094331,38.63071745,6.004866385
2021-Spring-61-1,2021,Spring,Spring21,0-30 cm,Undrained,1,Plot 2,61,185.0940333,114.541972,6.01295056,1.615949421,38.8664959,6.01295056,21.64662202,24.26586328,20.25611811
2021-Summer-2-1,2021,Summer,Summer21,0-30 cm,Drained,1,Plot 1,2,90.60602,191.827709,8.085910559,0.472330199,15.27687898,8.085910559,29.10927801,32.63150065,11.78747015
2021-Summer-5-1,2021,Summer,Summer21,0-30 cm,Drained,1,Plot 1,5,66.7532086,236.510511,,0.282242038,,,,,9.04042597
2021-Summer-9-1,2021,Summer,Summer21,0-30 cm,Drained,1,Plot 1,9,60.9466,200.369339,23.29445212,0.304171288,28.34201406,23.29445212,83.86002763,94.00709098,10.4277986
2021-Summer-12-1,2021,Summer,Summer21,0-30 cm,Drained,1,Plot 1,12,72.63497667,221.841243,19.46308185,0.327418724,25.49030968,19.46308185,70.06709466,78.54521311,11.42821828
2021-Summer-22-1,2021,Summer,Summer21,0-30 cm,Undrained,1,Plot 2,22,51.27859333,125.784616,2.639208617,0.407669832,4.303702939,2.639208617,9.501151021,10.65079029,6.649626355
2021-Summer-25-1,2021,Summer,Summer21,0-30 cm,Undrained,1,Plot 2,25,114.6773333,70.170305,9.740976185,1.634271553,63.6776011,9.740976185,35.06751427,39.31068349,13.143534
2021-Summer-26-1,2021,Summer,Summer21,0-30 cm,Undrained,1,Plot 2,26,77.60645667,300.457321,9.55096664,0.258294444,9.867846471,9.55096664,34.3834799,38.54388097,11.72031554
2021-Summer-29-1,2021,Summer,Summer21,0-30 cm,Drained,2,Plot 3,29,33.24707,58.8083823,7.189796339,0.565345767,16.2588837,7.189796339,25.88326682,29.01514211,4.631770457
2021-Summer-32-1,2021,Summer,Summer21,0-30 cm,Drained,2,Plot 3,32,77.44005,108.441009,8.218965857,0.714121445,23.47735908,8.218965857,29.58827709,33.16845861,9.650311676
2021-Summer-38-1,2021,Summer,Summer21,0-30 cm,Drained,2,Plot 3,38,56.90834667,146.324313,6.951622931,0.388919281,10.81448078,6.951622931,25.02584255,28.0539695,7.84924009
2021-Summer-41-1,2021,Summer,Summer21,0-30 cm,Drained,2,Plot 3,41,44.12960667,55.4718528,7.658501759,0.795531507,24.37031779,7.658501759,27.57060633,30.9066497,5.733529371
2021-Summer-43-1,2021,Summer,Summer21,0-30 cm,Undrained,2,Plot 4,43,59.45241,109.024387,5.364692043,0.545312949,11.70174416,5.364692043,19.31289135,21.64975121,7.571954074
2021-Summer-44-1,2021,Summer,Summer21,0-30 cm,Undrained,2,Plot 4,44,23.69496,67.6010429,2.360237804,0.350511752,3.309164354,2.360237804,8.496856094,9.524975682,3.281530209
2021-Summer-45-1,2021,Summer,Summer21,0-30 cm,Undrained,2,Plot 4,45,43.52439667,114.164748,0.112328924,0.381241998,0.171298014,0.112328924,0.404384126,0.453314606,5.505320039
2021-Summer-57-1,2021,Summer,Summer21,0-30 cm,Undrained,2,Plot 4,57,72.72715667,157.948161,8.602548484,0.460449531,15.84415766,8.602548484,30.96917454,34.71644466,9.712452125
2021-Summer-61-1,2021,Summer,Summer21,0-30 cm,Undrained,1,Plot 2,61,63.64677,84.4685743,2.255460859,0.75349644,6.797926908,2.255460859,8.119659092,9.102137843,7.434908829
